OrderID,Date,CustomerCity,customerName,ProdName,Quantity,Price,totalSales
3334,2021-12-31,Saint Louis,Robinett Cossum,DC-304 Drone,5,395.0,1975.0
3332,2021-12-31,Miami,Joey Sumpner,MICR-564K Drone,3,499.0,1497.0
3337,2021-12-31,Atlanta,Nancie Motherwell,BYOR-1000,4,189.0,756.0
3336,2021-12-31,Philadelphia,Krystyna Coyte,RXW-9807 Robot,5,599.0,2995.0
3333,2021-12-31,Fresno,Robby Drinkale,Open Source Code,3,32.95,98.850000000000009
3335,2021-12-31,Richmond,Nydia Gyse,Understanding Automation,2,44.95,89.9
3338,2021-12-31,Pittsburgh,Chelsy Collop,Understanding Automation,5,44.95,224.75
3331,2021-12-30,Arlington,Hyatt Darwent,DTD-7000 Drone,4,450.0,1800.0
3330,2021-12-30,Boca Raton,Amy Kelwaybamber,Photograph Drones,4,14.99,59.96
3327,2021-12-29,Sacramento,Skipper Bolger,QuadroCopter Blueprint,3,10.99,32.97
3326,2021-12-29,Chandler,Jacki Kleinzweig,DA-SA702 Drone,3,399.0,1197.0
3329,2021-12-29,Columbia,Lanni D'Ambrogi,BYOR-1000,3,189.0,567.0
3328,2021-12-29,Dallas,Dre Donoher,MICR-23K Robot,4,899.0,3596.0
3325,2021-12-28,Philadelphia,Gilberte Plain,BYOD-100,4,54.0,216.0
3324,2021-12-28,Phoenix,Alexandra Stamp,BYOD-200,3,58.95,176.85000000000002
3323,2021-12-28,Evansville,Dennet Burniston,BYOD-200,6,58.95,353.70000000000005
3318,2021-12-27,Anchorage,Carole Halliburton,BYOD-220,3,69.0,207.0
3320,2021-12-27,Minneapolis,Langsdon Freschini,BYOD-500,5,167.0,835.0
3322,2021-12-27,Little Rock,Lolita Dreschler,RTF Drones,3,16.99,50.97
3321,2021-12-27,Daytona Beach,Alexei Southall,BYOR-3535,4,225.0,900.0
3319,2021-12-27,Phoenix,Jaquith Aishford,RQTE-554 Robot,3,684.0,2052.0
3317,2021-12-26,Houston,Ava Fitzroy,Bsquare Robot Blueprint,3,8.99,26.97
3313,2021-12-26,Albuquerque,Angelita Bernaert,BYOD-300,3,89.0,267.0
3316,2021-12-26,North Las Vegas,Winnie Shillam,SCARA Robots,1,19.5,19.5
3315,2021-12-26,Fresno,Miltie Menlove,Understanding Arduino,6,17.5,105.0
3314,2021-12-26,Detroit,Hyacinth Slark,BYOR-4005,4,245.0,980.0
3306,2021-12-25,Los Angeles,Keelby Bonnet,Creature Robot Arms Blueprint,3,12.0,36.0
3309,2021-12-25,Phoenix,Ursola Brigshaw,Ladybug Robot Blueprint,6,12.0,72.0
3312,2021-12-25,Kansas City,Benedetto Disbury,Sleepy Eye Blueprint,2,11.99,23.98
3310,2021-12-25,Miami,Lynnet Jolley,BYOD-100,3,54.0,162.0
3307,2021-12-25,Stockton,Lisette Stelljes,BYOD-550,1,179.0,179.0
3308,2021-12-25,Rochester,Audrie Nuschke,MICR-564K Drone,2,499.0,998.0
3311,2021-12-25,Little Rock,Orelee Leeves,Understanding 3D Printing,2,42.99,85.98
3305,2021-12-24,College Station,Elisha Harmstone,BYOD-400S,3,129.95,389.84999999999997
3304,2021-12-24,Montgomery,Freddy Fayerman,BYOR-2640S,3,189.0,567.0
3303,2021-12-24,Riverside,Jobye Hambelton,BYOR-3000,3,214.0,642.0
3301,2021-12-23,Houston,Garrett Chaloner,All Eyes Drone Blueprint,4,9.99,39.96
3300,2021-12-23,New Orleans,Tami Antonopoulos,RTF Drones,6,16.99,101.94
3302,2021-12-23,Hollywood,Lodovico Binnie,RLK-9920 Robot,2,699.0,1398.0
3299,2021-12-22,Baltimore,Tyrone Burnhams,Ladybug Robot Blueprint,5,12.0,60.0
3296,2021-12-22,Boise,Georgine Mander,DA-SA702 Drone,4,399.0,1596.0
3298,2021-12-22,Stockton,Lisette Stelljes,BYOR-1500,5,189.0,945.0
3297,2021-12-22,Chico,Tracy Lynock,Aerial Security,6,36.99,221.94
3294,2021-12-21,Indianapolis,Delila Dabinett,BYOD-500,3,167.0,501.0
3295,2021-12-21,Richmond,Arvy Castelijn,DX-145 Drone,2,250.0,500.0
3292,2021-12-21,Wilmington,Lucinda Dangerfield,Articulated Robots,2,23.99,47.98
3293,2021-12-21,Tampa,Elsinore Emanuelli,SCARA Robots,2,19.5,39.0
3291,2021-12-20,Montgomery,Clemmy Scarr,RCB-889 Robot,3,549.0,1647.0
3287,2021-12-19,Tampa,Sean Feifer,BYOD-220,6,69.0,414.0
3285,2021-12-19,Fresno,Vinita Sitch,DTE-QFN20 Drone,3,250.0,750.0
3288,2021-12-19,Silver Spring,Jacques Simonsen,DTI-84 Drone,2,455.0,910.0
3290,2021-12-19,Madison,Ravid Scoines,SCARA Robots,2,19.5,39.0
3286,2021-12-19,Washington,Nevil Webberley,Spherical Robots,3,16.75,50.25
3289,2021-12-19,Topeka,Emily McMurdo,Understanding 3D Printing,1,42.99,42.99
3281,2021-12-18,Young America,Bat Marner,Delivery Drones,4,14.99,59.96
3284,2021-12-18,New York City,Jamil Fance,Helicopter Drones,5,20.95,104.75
